,Unnamed: 0,_id,name,reviews,stars
188,188,65098d07c0f914f394936095,Google 사용자,여러시설을 저렴한 가격으로 이용할수 있다는게 가장큰 장점이네요,별표 5개 만점에 5개를 받았습니다.
189,189,65098d07c0f914f394936096,김유미,시설 검색도 편하고요 혜택 부분도 진짜 괜찮습니다 ㅎ,별표 5개 만점에 5개를 받았습니다.
190,190,65098d07c0f914f394936097,Google 사용자,사진 업로드 안되서 지우고 다시 처음부터한게 6번....짜증나.....,별표 5개 만점에 1개를 받았습니다.
191,191,65098d07c0f914f394936098,Google 사용자,"사이트 해킹 당한겁니까? 어플 실행이 안되고 운동하러 갔다가 어플도 안되고 사이트도 열리질 않아서 입장도 못하고, 이게 뭐하는 겁니까?",별표 5개 만점에 1개를 받았습니다.
192,192,65098d07c0f914f394936099,Inho Song,다양한 시설을 합리적 가격으로 이용할 수 있어 좋습니다,별표 5개 만점에 5개를 받았습니다.
193,193,65098d07c0f914f39493609a,Google 사용자,갑자기 앱이 실행안되요! 지웠다가 다시해도 안되요! 목욕하러 왔다가 망신만 당하고 돌아가네요!,별표 5개 만점에 1개를 받았습니다.
194,194,65098d07c0f914f39493609b,Junan O,"코로나 때문에 운동 못해도 라이프 멤버십으로 스벅, 편의점 갈 수 있네요",별표 5개 만점에 5개를 받았습니다.
195,195,65098d07c0f914f39493609c,정재훈,주변에도 추천 해줬어요 ! 맴버쉽 혜택 뛰어납니다,별표 5개 만점에 5개를 받았습니다.
196,196,65098d07c0f914f39493609d,Google 사용자,어플 오류가 너무 많이나고 서비스의 질도 갈수록 떨어짐,별표 5개 만점에 3개를 받았습니다.
197,197,65098d07c0f914f39493609e,진촤?,가성비 측면으로 봤을땐 아이코젠이 정말 좋긴 함 앞으로도 더 발전 하셔서 더 많은곳 제휴 되어있으면 합니다,별표 5개 만점에 5개를 받았습니다.
198,198,65098d07c0f914f39493609f,Google 사용자,"금일 업데이트 이후 시설 입장이 불가합니다. 시간 내서 헬스 장 간건데, 시간이 너무 아깝네요. gps 입장이 안되면 대체입장 할 수 있는 방법도 만들어주셔야지. 돈 내고 이게 뭐하는 건지 모르겠네요",별표 5개 만점에 1개를 받았습니다.
199,199,65098d07c0f914f3949360a0,Google 사용자,감사합니다 좋은 어플이네요 ~ 요번 업데이트 너무 마음에 듭니다 제휴 도 많아졌고요,별표 5개 만점에 5개를 받았습니다.
200,200,65098d07c0f914f3949360a1,Google 사용자,제휴되어있는 센터들이 엄청 많네요!!? 더 사용하기 편리해진거 같아요~,별표 5개 만점에 5개를 받았습니다.
201,201,65098d07c0f914f3949360a2,Google 사용자,이런저런 시설 저렴하게 이용할 수있다는게 이어플 장점 이네요 아이코젠 감사합니다,별표 5개 만점에 5개를 받았습니다.
202,202,65098d07c0f914f3949360a3,Google 사용자,앱이 열리지도 않고 최악임. 속도도 느리고,별표 5개 만점에 1개를 받았습니다.
203,203,65098d07c0f914f3949360a4,김이슬,복리후생 앱중 최고임 여러 제휴점이 많고 혜택도 정말 좋음 !,별표 5개 만점에 5개를 받았습니다.
204,204,65098d07c0f914f3949360a5,fden fat,여러 시설을 저렴한 가격에 이용 가능 하다니 ㅋㅋ 완전 서비스 좋다,별표 5개 만점에 3개를 받았습니다.
205,205,65098d07c0f914f3949360a6,Google 사용자,회원가입에서 물먹는 이미 10번째 회사밖에서 해도 안되고 지웠다 다시해도 안되고 안해안해.그냥 길거리뛰고말지,별표 5개 만점에 1개를 받았습니다.
206,206,65098d07c0f914f3949360a7,이기식,좋은가격과 건강을 위해 직장인들을 위한 자기관리를 운동으로 관리함으로 건강을 지킬 수 있습니다 모든분들이 좋은 시스템으로 유지관리 할 수 있도록 했으면 좋겠습니다,별표 5개 만점에 5개를 받았습니다.
207,207,65098d07c0f914f3949360a8,서승진,아이코젠 덕분에 좋아하는 골프및 여러가지를 편리하게 이용하고 있어요^^*,별표 5개 만점에 5개를 받았습니다.
208,208,65098d07c0f914f3949360a9,턱살,gps 왜 안잡히는거죠? 시설 출입구에서 입장을 못하고 있어요 시설입구에서 입장 못하고 앱 삭제후 재설치중,별표 5개 만점에 1개를 받았습니다.
209,209,65098d07c0f914f3949360aa,김기훈,항상 편리하고 다양하게 잘 이용하고 있습니다,별표 5개 만점에 5개를 받았습니다.
210,210,65098d07c0f914f3949360ab,Google 사용자,한번씩 이용하기 버튼도 안눌러지고 진짜휴..,별표 5개 만점에 1개를 받았습니다.
211,211,65098d07c0f914f3949360ac,헌준리,최악의 사용성... 이 앱이 어떻게 4.5점을 받고있지,별표 5개 만점에 1개를 받았습니다.
